"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6660","6510","6690","6630","6530","6710","6980","7120","7490","7690","8030","8520","8940","9660","10160","10840","11310","12130","12550","12600","13060","13360","13060","12780","12710","11700","11510","11370","11450","11530",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1419.58373743265","1557.73658508916","1731.9134394938","1935.81691409708","2162.64575360425","2369.90761359569","2595.98604764191","2787.74821219797","2799.04889561158","2967.94137069098","3233.87251419295","3498.64452571401","3805.861987375","4175.89289946137","4630.63868737132","5157.1790545235","5852.69618902261","6691.87103158685","7354.04019411926","7850.27976908704","8643.28914718467","9456.72444029575","10288.5258764441","10828.825656981","11413.5889485958","11701.1674167089","12220.8464462611","12908.8859168942","13935.4823766323","14927.2306664972",
"Early-demographic dividend","EAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2860.02990813956","3037.90700081456","3177.90657780274","3276.42848084962","3375.7305215709","3503.18813186166","3687.12358612935","3844.65626993994","3812.768630079","3876.26598173422","4067.55515308618","4179.75795929143","4262.65229201242","4500.22630981644","4833.40677815824","5201.19686196808","5659.0177710733","6096.08523936481","6388.77384435888","6486.40335359222","6881.32495318057","7281.18279051263","7642.07786451824","7877.17001049655","8102.82552594732","8207.37211114035","8468.87629651353","8898.6825190611","9352.5252967713","9676.44918430051",
"East Asia & Pacific","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3195.07732006473","3437.2907536077","3660.9035057011","3905.40099906386","4196.25554198464","4492.41733372558","4812.02979881699","5069.86433362983","5055.69428968212","5285.42416682233","5695.00097271052","6005.35483279598","6385.56333901892","6809.71772556509","7397.18585701701","8019.83316299356","8843.38338311758","9806.53150218919","10448.9728355423","10794.9770362923","11724.2603802849","12585.1381989855","13456.7166437733","14124.8195995316","14721.5040348016","15107.0798878987","15589.7999960224","16331.1114301305","17355.0554784065","18422.1335733769",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6960.56492157912","6816.85933623325","6276.71723300731","6054.36220565322","5468.11645104897","5467.40281991709","5524.89696422102","5758.12341616412","5222.4805148879","5389.49034291736","6052.31166927724","6423.42687492408","6880.1606157968","7562.68535175408","8486.1828957413","9518.32463427891","11319.7542640285","12627.5318942192","14403.454288238","13867.1772221509","14846.5660154716","16357.9994226686","17358.3473114856","18689.8305304488","19139.0114290896","18779.0828638976","19114.2790592129","20354.1602493238","21702.4280655323","21990.7623545752",
"Europe & Central Asia","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11703.4971387021","12030.0818512565","12096.701325571","12202.6763739216","12425.3063596369","12814.4591264795","13259.9365806094","13869.849471086","14153.5198552696","14705.2717552817","15856.722586339","16645.7457460402","17421.3599705977","18077.1665547089","19227.7865435978","20282.9336741391","22405.0041104544","23923.286083303","25452.3537313433","24878.6981271182","25960.3894456609","27473.3119057268","28227.8544882973","29492.5997723211","30223.8553020419","30625.8984196604","32024.6277904022","33854.9183214948","35308.4052023991","36557.0100895782",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4450","4750","4920","5060","5290","5420","5480","5720","5820","5370","5450","5790","6050","6210","6760","7270","7720","7970","8640","8640","8950","9700","10160","10990","11540","10870","10830","11360","11520","11500",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3620","3820","3990","4120","4280","4490","4710","4950","5200","5460","5820","6050","6190","6370","6690","7010","7640","8290","8890","9140","9330","9550","10820","10970","10640","11310","11040","10800","11340","11810",
"Euro area","EMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16984.3628901327","17910.3624486334","18478.2535811204","18727.5452261489","19496.6283854112","20372.5217246602","21025.7981060638","21898.2486554753","22895.2038634073","23817.6129626572","25299.8335053525","26416.719669764","27364.5286185359","27821.3881345435","29047.6791162524","30085.5735609498","32592.5905930704","34370.6349162028","35548.8249086573","34916.5798317646","35916.6727591124","37612.3039207191","38040.5274800274","39255.0310949519","40168.2081218234","41125.7041471636","43709.9138567849","45990.8489542906","47562.0898298549","49478.4493867649",
"Eritrea","ERI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","810","950","1190","1280","1390","1540","1590","1600","1530","1630","1630","1540","1530","1560","1550","1570","1410","1450","1470","1610","","","","","","","","",
